Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2010/052215,Proposed Renovations And Additional Works To The Presidential Escort Camp Nairobi,"41,207,605",GoK; Unspecified,Government of Kenya,03/03/2009,03/03/2009,7 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Completed
2010/052254,Establishment Of A Forensic Laboratory,"1,420,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052259,Establishment Of A National Security Data Centre,"603,000,000",Unspecified,Government of Kenya,07/01/2009,,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052308,Construction Of Mt. Kenya School Of Adventure And Leadership(Kesal) Offices,"5,600,000",GoK; Unspecified,Government of Kenya,09/01/2010,,21 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Planned
2010/052325,Refurbishment Of Department Of Information &Nbsp;And Pc Headquaters,"3,600,000",GoK,Government of Kenya,08/02/2010,08/02/2010,9 months,Unspecified,Unspecified,MOIC - Department of Information (DI),Unspecified
2010/052337,"Refurbishment Of Buildings, Rehabilitation And Renovation Of Plant, Machinery And Equipment At Government Press","223,015,000",GoK; Unspecified,Government of Kenya,07/01/2010,08/09/2010,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052351,Construction Of Post Modern Library,"900,000,000",Unspecified,,02/01/2008,02/01/2008,26 months,Unspecified,Unspecified,106 - Ministry of Education; 106 - MOES&T - Kenyatta University (KU),Ongoing
2010/052369,Construction Of School Of Engineeering Block,"150,000,000",Unspecified,,11/01/2008,,22 months,Unspecified,Unspecified,106 - Ministry of Education; 106 - MOES&T - Kenyatta University (KU),Completed
2010/052370,Construction Of Amphitheatre,"70,000,000",Unspecified,,09/01/2009,09/01/2009,15 months,Unspecified,Unspecified,106 - MOES&T - Kenyatta University (KU),Ongoing
2010/052649,Procurement Of Meters And Fittings For The Wsps.,"60,000,000",Unspecified,501 - International Development Association (IDA),20/10/2010,,0,Unspecified,Unspecified,Unspecified,Planned
2010/052650,Office Equipment-Computers And Printers And Other Accessories For Cwsb And 6 Wsps.,"16,800,000",Unspecified,501 - International Development Association (IDA),27/04/2009,,1 month,Unspecified,Unspecified,161 - MOWI - Coast Water Services Board,Completed
2010/052653,Section Valves For Network Sectorization For Wsps (30no.),"12,560,560",Unspecified,501 - International Development Association (IDA),19/07/2010,,4 months,Unspecified,Unspecified,161 - MOWI - Coast Water Services Board,Ongoing
2010/052657,"Communication Equipment(Repeaters,Portable Radios Etc)","12,000,000",Unspecified,501 - International Development Association (IDA),31/08/2010,,0,Unspecified,Unspecified,161 - MOWI - Coast Water Services Board,Planned
2010/54082,Nmk - Headquarter'S Perimeter Wall,"16,194,846",Unspecified,Government of Kenya,26/04/2010,26/04/2010,6 months,Unspecified,Unspecified,1131 - Ministry of Sports Culture and Arts,Unspecified
2010/54084,Nmk - Jaramogi Oginga Odinga Memorial Museum Renovation,"10,118,250",Unspecified,Government of Kenya,01/06/2010,,10 months,Unspecified,Unspecified,1131 - Ministry of Sports Culture and Arts,Completed
2011/052775,Completion Of Works Of Trans Nzoia District Headquarters - Kitale,"123,098,595",Unspecified,Government of Kenya,03/01/2006,03/01/2006,18 months,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing
2011/052839,Office Automation,"8,000,000",GoK; Unspecified,Government of Kenya,09/06/2010,09/06/2010,21 months,Unspecified,Unspecified,129 - MRDA - Ewaso Ngiro South Dev. Authority (ENSDA),Ongoing
2011/052873,Drought And Flood Disater Mitigation And Risk Reduction Project,"500,000,001",GoK,Government of Kenya,07/01/2010,,23 months,Unspecified,Unspecified,128 - MRDA - Ewaso Ngiro North Dev. Authority (ENNDA),Planned
2011/052875,Regional Data And Information Centre,"553,000,000",GoK,Government of Kenya,07/01/2010,07/01/2010,35 months,Unspecified,Unspecified,128 - MRDA - Ewaso Ngiro North Dev. Authority (ENNDA),Ongoing
